City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Waipawa,NZ,-41.4122,175.5153,47.26,61,73,11.74,broken clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,50.09,87,0,8.01,clear sky
81,Vostok,RU,46.4856,135.8833,43.23,34,62,9.31,broken clouds
82,Jieshi,CN,22.8134,115.8257,83.93,66,62,12.59,broken clouds
83,Geraldton,AU,-28.7667,114.6,70.21,30,1,12.66,clear sky
84,Eureka,US,40.8021,-124.1637,59.67,86,95,1.99,overcast clouds
85,Aklavik,CA,68.2191,-135.0107,48.7,73,100,18.52,overcast clouds
86,Cayenne,GF,4.9333,-52.3333,73.44,88,0,0.0,clear sky
87,Faya,SA,18.3851,42.4509,64.92,37,90,2.8,overcast clouds
88,Lakes Entrance,AU,-37.8811,147.981,68.16,73,100,4.88,moderate rain
89,Leua,SK,48.2156,18.6071,55.49,84,33,4.83,scattered clouds
90,Taber,CA,49.8167,-112.1518,47.25,87,1,8.05,clear sky
91,Birjand,IR,32.8663,59.2211,54.07,6,0,9.22,clear sky
92,Emerald,AU,-23.5333,148.1667,83.34,43,0,13.04,clear sky
93,Omboue,GA,-1.5746,9.2618,75.6,88,100,5.59,overcast clouds
94,Atar,MR,20.5169,-13.0499,83.89,21,0,9.01,clear sky
95,Labuhan,ID,-6.8844,112.2051,87.15,62,99,3.51,overcast clouds
96,Floro,NO,61.5996,5.0328,53.56,87,75,27.63,light rain
97,Colesberg,ZA,-30.72,25.0972,51.75,65,100,12.95,overcast clouds
98,Hobart,AU,-42.8794,147.3294,66.06,63,75,8.05,broken clouds
99,Asfi,MA,32.2994,-9.2372,70.7,68,79,9.08,broken clouds
100,Tonj,SS,7.2737,28.6822,69.55,93,19,2.62,few clouds
101,Urengoy,RU,65.9667,78.3667,32.77,97,100,15.88,snow
102,East London,ZA,-33.0153,27.9116,61.74,72,20,10.36,few clouds
103,Ojinaga,MX,29.5667,-104.4167,70.75,64,0,17.27,clear sky
104,Cape Town,ZA,-33.9258,18.4232,58.37,76,20,3.0,few clouds
105,Codrington,AU,-38.2667,141.9667,59.49,69,30,21.34,scattered clouds
106,Bethel,US,41.3712,-73.414,59.14,87,0,0.0,clear sky
107,Tutubigan,PH,11.8397,125.0614,85.42,78,94,1.34,overcast clouds
108,Thompson,CA,55.7435,-97.8558,30.36,69,0,9.22,clear sky
109,Nouadhibou,MR,20.931,-17.0347,73.38,68,59,18.41,sand
110,Malibu,US,34.005,-118.8101,70.84,91,65,3.38,broken clouds
111,Shingu,JP,33.7333,135.9833,69.15,93,100,4.72,overcast clouds
112,Talnakh,RU,69.4865,88.3972,29.21,96,100,10.78,overcast clouds
113,Lata,PT,40.1629,-8.3327,55.08,62,69,2.95,broken clouds
114,Leningradskiy,RU,69.3833,178.4167,28.76,89,100,31.92,light snow
115,New Norfolk,AU,-42.7826,147.0587,66.92,72,82,3.0,light rain
116,Esperance,AU,-33.8667,121.9,57.56,55,99,9.71,overcast clouds
117,Mitsamiouli,KM,-11.3847,43.2844,76.53,78,4,11.65,clear sky
